Jugador,games,win_w,draw_w,lose_w,win_b,draw_b,lose_b,eco_ww_1,eco_ww_2,eco_ww_3,eco_dw_1,eco_dw_2,eco_dw_3,eco_lw_1,eco_lw_2,eco_lw_3,eco_b_1,eco_b_2,eco_b_3,eco_db_1,eco_db_2,eco_db_3,eco_lb_1,eco_lb_2,eco_lb_3
56,4120,1082,98,914,1054,101,871,2.1,3.0,2.01,2.1,2.01,2.9,2.32,2.3,1.45,2.32,2.3,1.45,2.3,1.45,2.32,2.01,3.0,2.1
57,17113,4769,283,3713,4548,290,3510,1.0,1.04,1.05,1.05,1.04,1.0,1.0,0.0,1.45,1.0,0.0,1.45,1.0,1.45,2.9,1.0,1.04,1.05
58,5176,1502,86,1024,1468,98,998,1.0,1.4,4.35,4.35,1.4,1.65,1.45,1.0,2.27,2.27,0.0,1.0,2.27,1.04,1.45,1.0,4.35,1.4
59,880,325,25,99,319,25,87,1.4,1.46,4.02,1.4,2.23,1.46,2.02,1.0,1.01,2.02,3.0,1.4,2.08,1.0,2.06,4.02,1.4,2.0
60,105,36,7,13,35,4,10,1.01,2.06,5.48,1.01,5.62,1.27,1.04,1.46,5.62,1.04,2.01,2.0,1.0,1.04,2.22,1.01,5.91,3.02
61,7387,1790,205,1839,1645,224,1684,2.23,2.01,2.0,2.1,2.23,3.02,2.9,2.5,2.2,2.9,2.5,2.2,2.9,2.5,1.0,2.23,2.01,0.0
62,1293,327,15,302,322,14,313,3.44,3.0,2.0,3.55,3.44,2.01,2.9,4.0,1.04,4.0,2.5,2.9,2.2,2.23,4.06,0.0,3.0,2.0
63,598,172,115,24,129,136,20,4.3,3.42,3.66,4.63,3.42,4.47,3.12,4.35,5.24,1.47,5.16,4.53,4.67,4.64,4.53,3.49,2.24,3.47
64,598,172,115,24,129,136,20,4.3,3.42,3.66,4.63,3.42,4.47,3.12,4.35,5.24,1.47,5.16,4.53,4.67,4.64,4.53,3.49,2.24,3.47
65,598,172,115,24,129,136,20,4.3,3.42,3.66,4.63,3.42,4.47,3.12,4.35,5.24,1.47,5.16,4.53,4.67,4.64,4.53,3.49,2.24,3.47
66,598,172,115,24,129,136,20,4.3,3.42,3.66,4.63,3.42,4.47,3.12,4.35,5.24,1.47,5.16,4.53,4.67,4.64,4.53,3.49,2.24,3.47
67,598,172,115,24,129,136,20,4.3,3.42,3.66,4.63,3.42,4.47,3.12,4.35,5.24,1.47,5.16,4.53,4.67,4.64,4.53,3.49,2.24,3.47
68,598,172,115,24,129,136,20,4.3,3.42,3.66,4.63,3.42,4.47,3.12,4.35,5.24,1.47,5.16,4.53,4.67,4.64,4.53,3.49,2.24,3.47
69,598,172,115,24,129,136,20,4.3,3.42,3.66,4.63,3.42,4.47,3.12,4.35,5.24,1.47,5.16,4.53,4.67,4.64,4.53,3.49,2.24,3.47
